tempo,regiao,encargos_sns_hospitalar
2016-07,Norte,29431843.370000005
2017-03,Lisboa e Vale do Tejo,54477767.41
2017-12,Lisboa e Vale do Tejo,46910844.53
2019-05,Algarve,3968422.27
2019-11,Algarve,2105406.71
2020-09,Centro,19460790.03
2021-02,Algarve,4255408.12
2021-09,Norte,52184172.13
2022-07,Lisboa e Vale do Tejo,62675224.21999967
2023-04,Norte,50066736.9099996
2024-04,Centro,29886579.33
2024-06,Alentejo,5300376.799999996
2024-10,Alentejo,6536424.499999998
2011-03,Alentejo,3041527.3000000003
2011-06,Centro,14358921.8
2011-09,Norte,26168544.89
2012-09,Alentejo,2456377.05
2013-04,Alentejo,2903270.83
2014-01,Lisboa e Vale do Tejo,37939348.01999998
2014-10,Centro,14703853.280000009
2015-02,Algarve,2904452.76
2015-03,Norte,25366026.01
2016-03,Lisboa e Vale do Tejo,56125361.16
2017-10,Norte,36174365.38
2018-01,Alentejo,3176928.0700000003
2018-01,Centro,18217345.48
2018-05,Algarve,4115649.49
2018-08,Centro,18565898.08
2019-02,Alentejo,3007031.51
2019-04,Norte,37151577.89
2020-05,Algarve,2885472.94
2021-06,Centro,20172737.11
2021-11,Lisboa e Vale do Tejo,63765233.36
2022-01,Alentejo,3858671.25
2022-02,Lisboa e Vale do Tejo,54649350.12000033
2022-06,Algarve,5096714.180000003
2022-08,Centro,24613725.80000006
2022-09,Centro,24286674.050000083
2022-10,Alentejo,4338699.130000006
2022-10,Norte,54071129.35999983
2023-04,Alentejo,4257362.420000005
2011-04,Alentejo,2588288.71
2012-09,Centro,13101625.36
2012-09,Norte,23708183.1
2012-11,Lisboa e Vale do Tejo,40564123.27
2013-05,Alentejo,3019200.59
2013-08,Centro,13208902.85
2013-12,Lisboa e Vale do Tejo,34870060.870000005
2014-09,Norte,24763745.80000001
2015-08,Norte,32169255.25
2015-12,Algarve,2495989.7
2015-12,Norte,26380222.56000001
2016-02,Norte,29694454.52
2016-11,Alentejo,3319944.12
2018-04,Algarve,4429762.94
2018-07,Norte,37258779.11
2018-09,Lisboa e Vale do Tejo,43633986.3
2019-04,Lisboa e Vale do Tejo,47615139.83
2019-07,Lisboa e Vale do Tejo,49769072.91
2019-09,Centro,18263310.04
2019-12,Lisboa e Vale do Tejo,49787292.12
2020-06,Algarve,2850344.99
2021-01,Norte,48576580.11
2021-12,Lisboa e Vale do Tejo,54806616.24
2022-02,Centro,21357815.91999992
2022-05,Lisboa e Vale do Tejo,64788784.81999978
2022-10,Lisboa e Vale do Tejo,62706259.93999988
2023-05,Centro,28650659.58999992
2023-05,Lisboa e Vale do Tejo,74098418.95999987
2024-04,Lisboa e Vale do Tejo,82119189.46999979
2024-08,Centro,31037666.01000003
2011-03,Norte,28726795.42
2011-09,Centro,14559712.32
2012-04,Norte,24562566.820000004
2012-10,Lisboa e Vale do Tejo,42288235.91
2013-10,Norte,23255994.19
2014-02,Centro,12856983.170000006
2014-05,Centro,13657060.879999995
2015-04,Centro,16798075.85
2016-04,Centro,16862729.77
2016-09,Centro,16256866.139999997
2017-11,Algarve,3534954.27
2018-05,Alentejo,3205118.82
2019-08,Alentejo,3079065.32
2020-03,Alentejo,3491390.18
2021-02,Norte,40506922.62
2021-09,Alentejo,3863549.94
2022-02,Norte,49156193.45000007
2022-04,Lisboa e Vale do Tejo,62488121.8600002
2023-04,Centro,25444266.01999999
